lx,ly,x,y,zX,zY,d
10,22,200.0,450.0,3.2354,2.7145,0.5208999999999997
10,23,250.0,450.0,3.2354,2.7658,0.4695999999999998
10,24,300.0,450.0,3.2354,2.8099,0.4255
10,25,350.0,450.0,3.25,2.8759,0.3740999999999999
10,26,400.0,450.0,3.2207,2.9272,0.29349999999999987
10,27,450.0,450.0,3.206,2.7952,0.41080000000000005
10,28,500.0,450.0,3.1987,2.6998,0.4988999999999999
10,29,550.0,450.0,3.0886,3.0299,0.058699999999999974
10,30,600.0,450.0,3.0373,3.0226,0.014699999999999935
10,31,650.0,450.0,3.0226,2.9052,0.11740000000000039
11,18,0.0,500.0,3.2794,3.1767,0.10270000000000001
11,19,50.0,500.0,3.25,3.2427,0.007299999999999862
11,20,100.0,500.0,3.2941,3.3014,-0.007300000000000306
11,21,150.0,500.0,3.3014,3.3014,0.0
11,22,200.0,500.0,3.3014,2.7145,0.5869
11,23,250.0,500.0,3.3307,2.7585,0.5722
11,24,300.0,500.0,3.3601,2.8245,0.5356000000000001
11,25,350.0,500.0,3.3161,2.8832,0.43290000000000006
11,26,400.0,500.0,3.2867,2.9199,0.3668
11,27,450.0,500.0,3.272,2.7952,0.4767999999999999
11,28,500.0,500.0,3.1913,2.6484,0.5428999999999999
11,29,550.0,500.0,3.1547,3.1253,0.02939999999999987
11,30,600.0,500.0,3.1547,3.096,0.058699999999999974
11,31,650.0,500.0,3.1547,2.8245,0.33020000000000005
12,18,0.0,550.0,2.8319,3.1987,-0.3668
12,19,50.0,550.0,2.8319,3.3014,-0.46950000000000003
12,20,100.0,550.0,2.7438,3.4775,-0.7337000000000002
12,21,150.0,550.0,2.7438,3.4995,-0.7557
12,22,200.0,550.0,2.7952,2.7365,0.058699999999999974
12,23,250.0,550.0,2.8685,2.7585,0.10999999999999988
12,24,300.0,550.0,2.8832,2.8906,-0.007400000000000073
12,25,350.0,550.0,2.8245,2.8832,-0.058699999999999974
12,26,400.0,550.0,2.8685,2.8245,0.04400000000000004
12,27,450.0,550.0,2.9859,2.8319,0.15399999999999991
12,28,500.0,550.0,3.0006,2.6484,0.35219999999999985
12,29,550.0,550.0,3.0593,3.0153,0.04400000000000004
12,30,600.0,550.0,3.184,3.0079,0.17610000000000037
12,31,650.0,550.0,3.2134,2.8685,0.3449
13,18,0.0,600.0,3.2647,3.228,0.03669999999999973
13,19,50.0,600.0,3.3381,3.3087,0.02939999999999987
13,20,100.0,600.0,3.4701,3.4114,0.058699999999999974
13,21,150.0,600.0,3.5141,3.4995,0.014600000000000168
13,22,200.0,600.0,3.5802,2.8612,0.7189999999999999
13,23,250.0,600.0,3.5508,2.8392,0.7116000000000002
13,24,300.0,600.0,3.4921,2.8465,0.6456000000000004
13,25,350.0,600.0,3.4334,2.8979,0.5354999999999999
13,26,400.0,600.0,3.4334,2.9126,0.5207999999999999
13,27,450.0,600.0,3.3307,2.8979,0.4328000000000003
13,28,500.0,600.0,3.25,2.6705,0.5794999999999999
13,29,550.0,600.0,3.1033,3.0299,0.07339999999999991
13,30,600.0,600.0,3.1987,2.9346,0.2641
13,31,650.0,600.0,3.25,2.8979,0.3521000000000001
14,18,0.0,650.0,3.272,3.2427,0.02929999999999966
14,19,50.0,650.0,3.3454,3.3454,0.0
14,20,100.0,650.0,3.4481,3.4114,0.03670000000000018
14,21,150.0,650.0,3.5362,3.5068,0.02939999999999987
14,22,200.0,650.0,3.5802,2.9419,0.6383000000000001
14,23,250.0,650.0,3.5802,2.8392,0.7410000000000001
14,24,300.0,650.0,3.5362,2.8539,0.6823000000000001
14,25,350.0,650.0,3.4334,2.9126,0.5207999999999999
14,26,400.0,650.0,3.3454,3.0373,0.30810000000000004
14,27,450.0,650.0,3.3161,2.9346,0.38149999999999995
14,28,500.0,650.0,3.1693,2.8099,0.35939999999999994
14,29,550.0,650.0,3.0226,3.0299,-0.007299999999999862
14,30,600.0,650.0,2.9933,2.9933,0.0
14,31,650.0,650.0,2.8685,2.8392,0.029300000000000104
15,18,0.0,700.0,2.9933,3.3307,-0.33740000000000014
15,19,50.0,700.0,2.9566,3.4041,-0.44750000000000023
15,20,100.0,700.0,2.9713,3.4334,-0.46209999999999996
15,21,150.0,700.0,2.9786,3.5508,-0.5722
15,22,200.0,700.0,2.9566,2.9346,0.021999999999999797
15,23,250.0,700.0,2.9419,2.9199,0.021999999999999797
15,24,300.0,700.0,2.9492,2.9346,0.014599999999999724
15,25,350.0,700.0,2.9713,3.0153,-0.04400000000000004
15,26,400.0,700.0,2.9713,3.0226,-0.051300000000000345
15,27,450.0,700.0,2.9786,2.9346,0.04400000000000004
15,28,500.0,700.0,2.9859,2.9492,0.03670000000000018
15,29,550.0,700.0,3.0153,2.9933,0.021999999999999797
15,30,600.0,700.0,3.052,3.0813,-0.029300000000000104
15,31,650.0,700.0,3.0666,2.7658,0.3008000000000002
15,32,700.0,700.0,2.9492,2.7585,0.19069999999999965
16,18,0.0,750.0,3.1106,3.5141,-0.4035000000000002
16,19,50.0,750.0,3.096,3.5288,-0.43279999999999985
16,20,100.0,750.0,2.9713,3.5141,-0.5428000000000002
16,21,150.0,750.0,3.0079,3.5655,-0.5576000000000003
16,22,200.0,750.0,3.0079,3.0079,0.0
16,23,250.0,750.0,3.0226,3.0226,0.0
16,24,300.0,750.0,3.0446,3.0593,-0.014699999999999935
16,25,350.0,750.0,3.0446,3.074,-0.02939999999999987
16,26,400.0,750.0,3.0593,3.0226,0.03669999999999973
16,27,450.0,750.0,3.0153,2.8906,0.12469999999999981
16,28,500.0,750.0,3.0373,2.9639,0.07339999999999991
16,29,550.0,750.0,3.052,3.1253,-0.07330000000000014
16,30,600.0,750.0,3.1327,3.228,-0.09530000000000038
16,31,650.0,750.0,3.2134,2.7952,0.4182000000000001
17,22,200.0,800.0,3.1327,3.1253,0.007399999999999629
17,23,250.0,800.0,3.184,3.162,0.02200000000000024
17,24,300.0,800.0,3.1547,3.1327,0.02200000000000024
