block,line,window,lag_ns,r
B,20.8.26 B Block proceq new009_2026,surface 0-3ns,0.2621,0.7036
B,20.8.26 B Block proceq new009_2026,shallow 4-10ns,-4.8906,0.5442
B,20.8.26 B Block proceq new009_2026,mid 8-16ns,1.1185,0.3106
B,20.8.26 B Block proceq new010_2026,surface 0-3ns,0.2614,0.6983
B,20.8.26 B Block proceq new010_2026,shallow 4-10ns,-3.2953,0.3673
B,20.8.26 B Block proceq new010_2026,mid 8-16ns,-0.2869,0.3577
B,20.8.26 B Block proceq new011_2026,surface 0-3ns,0.2586,0.7023
B,20.8.26 B Block proceq new011_2026,shallow 4-10ns,-4.8852,0.4218
B,20.8.26 B Block proceq new011_2026,mid 8-16ns,1.7308,0.2441
B,20.8.26 B Block proceq new012_2026,surface 0-3ns,0.2658,0.687
B,20.8.26 B Block proceq new012_2026,shallow 4-10ns,3.0995,0.3177
B,20.8.26 B Block proceq new012_2026,mid 8-16ns,-0.023,0.4604
B,20.8.26 B Block proceq new013_2026,surface 0-3ns,0.2482,0.7034
B,20.8.26 B Block proceq new013_2026,shallow 4-10ns,-4.8889,0.3092
B,20.8.26 B Block proceq new013_2026,mid 8-16ns,1.3456,0.3717
B,20.8.26 B Block proceq new014_2026,surface 0-3ns,0.2451,0.7314
B,20.8.26 B Block proceq new014_2026,shallow 4-10ns,4.528,0.3325
B,20.8.26 B Block proceq new014_2026,mid 8-16ns,-0.6125,0.2183
B,20.8.26 B Block proceq new015_2026,surface 0-3ns,0.2492,0.7416
B,20.8.26 B Block proceq new015_2026,shallow 4-10ns,4.3579,0.3687
B,20.8.26 B Block proceq new015_2026,mid 8-16ns,0.2517,0.4328
B,20.8.26 B Block proceq new016_2026,surface 0-3ns,0.2606,0.7143
B,20.8.26 B Block proceq new016_2026,shallow 4-10ns,4.0195,0.31
B,20.8.26 B Block proceq new016_2026,mid 8-16ns,-1.7737,0.2243
B,20.8.26 B Block proceq new017_2026,surface 0-3ns,0.2404,0.7303
B,20.8.26 B Block proceq new017_2026,shallow 4-10ns,4.3998,0.3234
B,20.8.26 B Block proceq new017_2026,mid 8-16ns,1.5767,0.4763
B,20.8.26 B Block proceq new018_2026,surface 0-3ns,0.2195,0.7457
B,20.8.26 B Block proceq new018_2026,shallow 4-10ns,4.8174,0.2939
B,20.8.26 B Block proceq new018_2026,mid 8-16ns,1.3418,0.4284
B,20.8.26 B Block proceq new019_2026,surface 0-3ns,0.2452,0.7298
B,20.8.26 B Block proceq new019_2026,shallow 4-10ns,4.7954,0.2817
B,20.8.26 B Block proceq new019_2026,mid 8-16ns,-0.0015,0.2588
B,20.8.26 B Block proceq new020_2026,surface 0-3ns,0.2459,0.7354
B,20.8.26 B Block proceq new020_2026,shallow 4-10ns,4.6089,0.3041
B,20.8.26 B Block proceq new020_2026,mid 8-16ns,1.2255,0.4688
B,20.8.26 B Block proceq new021_2026,surface 0-3ns,0.2515,0.7305
B,20.8.26 B Block proceq new021_2026,shallow 4-10ns,2.9821,0.2656
B,20.8.26 B Block proceq new021_2026,mid 8-16ns,-0.6939,0.2723
B,20.8.26 B Block proceq new022_2026,surface 0-3ns,0.2519,0.7364
B,20.8.26 B Block proceq new022_2026,shallow 4-10ns,-1.9663,0.3724
B,20.8.26 B Block proceq new022_2026,mid 8-16ns,-3.8413,0.2892
B,20.8.26 B Block proceq new023_2026,surface 0-3ns,0.2424,0.7381
B,20.8.26 B Block proceq new023_2026,shallow 4-10ns,4.8691,0.2815
