block,line,orientation,fixed_axis,fixed_cm,run_axis,run_from_cm,run_to_measured_cm,nominal_len_cm,len_error_cm,n_traces,trace_spacing_cm,ns_HF,ns_LF,window_HF_ns,window_LF_ns,antenna_offset_HF_cm,antenna_offset_LF_cm,sgy_HF,sgy_LF
B,9,X-line,y,400,x,0,960.0,950,10.0,385,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new009_20260820_181144\20.8.26 B Block proceq new009_20260820_181144_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new009_20260820_181144\20.8.26 B Block proceq new009_20260820_181144_20260821_120010_LF.sgy
B,10,X-line,y,450,x,0,952.5,950,2.5,382,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new010_20260820_181228\20.8.26 B Block proceq new010_20260820_181228_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new010_20260820_181228\20.8.26 B Block proceq new010_20260820_181228_20260821_115320_LF.sgy
B,11,X-line,y,500,x,0,960.0,950,10.0,385,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new011_20260820_181315\20.8.26 B Block proceq new011_20260820_181315_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new011_20260820_181315\20.8.26 B Block proceq new011_20260820_181315_20260821_115320_LF.sgy
B,12,X-line,y,550,x,0,947.5,950,-2.5,380,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new012_20260820_181404\20.8.26 B Block proceq new012_20260820_181404_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new012_20260820_181404\20.8.26 B Block proceq new012_20260820_181404_20260821_115320_LF.sgy
B,13,X-line,y,600,x,0,950.0,950,0.0,381,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new013_20260820_181459\20.8.26 B Block proceq new013_20260820_181459_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new013_20260820_181459\20.8.26 B Block proceq new013_20260820_181459_20260821_115320_LF.sgy
B,14,Y-line,x,0,y,0,615.0,600,15.0,247,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new014_20260820_181627\20.8.26 B Block proceq new014_20260820_181627_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new014_20260820_181627\20.8.26 B Block proceq new014_20260820_181627_20260821_115320_LF.sgy
B,15,Y-line,x,50,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new015_20260820_181708\20.8.26 B Block proceq new015_20260820_181708_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new015_20260820_181708\20.8.26 B Block proceq new015_20260820_181708_20260821_115320_LF.sgy
B,16,Y-line,x,100,y,0,610.0,600,10.0,245,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new016_20260820_181740\20.8.26 B Block proceq new016_20260820_181740_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new016_20260820_181740\20.8.26 B Block proceq new016_20260820_181740_20260821_115320_LF.sgy
B,17,Y-line,x,150,y,0,607.5,600,7.5,244,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new017_20260820_181814\20.8.26 B Block proceq new017_20260820_181814_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new017_20260820_181814\20.8.26 B Block proceq new017_20260820_181814_20260821_115320_LF.sgy
B,18,Y-line,x,200,y,0,602.5,600,2.5,242,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new018_20260820_181854\20.8.26 B Block proceq new018_20260820_181854_20260821_115320_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new018_20260820_181854\20.8.26 B Block proceq new018_20260820_181854_20260821_115320_LF.sgy
