block,l1,l2,r_nominal,r_best,shift_cm
B,10,27,0.074,0.6171,17.43
B,10,28,0.3482,0.8464,9.96
B,10,29,0.3561,0.5364,7.47
B,10,30,0.2851,0.7304,19.92
B,10,31,0.2293,0.8916,14.94
B,10,32,0.526,0.5392,-17.43
B,11,14,0.3924,0.4771,-17.43
B,11,15,0.367,0.6148,-7.47
B,11,16,0.4262,0.6545,-9.96
B,11,17,0.4921,0.5349,-12.45
B,11,18,0.4484,0.5904,-7.47
B,11,19,0.6672,0.775,9.96
B,11,20,0.5323,0.6797,2.49
B,11,21,0.0285,0.4872,19.92
B,11,22,0.3896,0.6886,19.92
B,11,23,0.4765,0.6405,-12.45
B,11,24,0.308,0.6553,7.47
B,11,25,-0.0034,0.3271,19.92
B,11,26,0.1094,0.6488,17.43
B,11,27,0.0468,0.6153,-19.92
B,11,28,0.4091,0.5799,-2.49
B,11,29,-0.0883,0.6652,19.92
B,11,30,-0.0281,0.2629,-19.92
B,11,31,0.2223,0.3567,-19.92
B,11,32,0.5471,0.5471,0.0
B,11,33,0.4778,0.6192,19.92
B,12,14,0.4518,0.4518,0.0
B,12,15,0.3245,0.5541,9.96
B,12,16,0.369,0.7477,9.96
B,12,17,0.3672,0.7063,12.45
B,12,18,0.3121,0.7107,9.96
B,12,19,0.5268,0.7473,7.47
B,12,20,0.3136,0.5966,12.45
B,12,21,0.3217,0.5874,-14.94
B,12,22,0.3515,0.549,14.94
B,12,23,0.3239,0.7594,12.45
B,12,24,0.3872,0.5583,14.94
B,12,25,0.3003,0.5932,17.43
B,12,26,-0.0236,0.7225,17.43
B,12,27,0.3476,0.412,-4.98
B,12,28,0.544,0.8471,14.94
B,12,29,0.1635,0.4097,19.92
B,12,30,-0.1914,0.6412,19.92
B,12,31,0.4021,0.6063,4.98
B,12,32,0.2791,0.5396,7.47
B,13,14,0.5254,0.5314,9.96
B,13,15,0.286,0.5812,-14.94
B,13,16,0.3484,0.5165,7.47
B,13,17,0.5629,0.6939,2.49
B,13,18,0.5059,0.5059,0.0
B,13,19,0.717,0.717,0.0
B,13,20,0.6261,0.6261,0.0
B,13,22,0.277,0.4434,4.98
B,13,23,0.4297,0.5689,-7.47
B,13,24,0.1526,0.4312,-19.92
B,13,25,-0.0023,0.4121,-17.43
B,13,26,0.0736,0.3507,-4.98
