block,line_no,csv,Repetition Rate [scans/cm],Scan Direction,Mode,Units,Firmware Version,App Version,Probe S/N,File Name,nsamp_LF,nsamp_HF,win_LF,win_HF,fs_LF,fs_HF,antsp_LF,antsp_HF,scan_m,startx,starty,n_line_entries,ntr_HF,ns_HF,dt_HF,fmt_HF,sgy_HF,ntr_LF,ns_LF,dt_LF,fmt_LF,sgy_LF
A,21,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new021_20260820_172720\20.8.26 A Block new021_20260820_172720_20260821_113401.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new021,664,655,81,40,8.19,16.38,24.4,7.0,5.3,0.0,0.0,1,213,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new021_20260820_172720\20.8.26 A Block new021_20260820_172720_20260821_113401_HF.sgy,213,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new021_20260820_172720\20.8.26 A Block new021_20260820_172720_20260821_113401_LF.sgy
A,22,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new022_20260820_172754\20.8.26 A Block new022_20260820_172754_20260821_113401.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new022,664,655,81,40,8.19,16.38,24.4,7.0,5.525,0.0,0.0,1,222,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new022_20260820_172754\20.8.26 A Block new022_20260820_172754_20260821_113401_HF.sgy,222,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new022_20260820_172754\20.8.26 A Block new022_20260820_172754_20260821_113401_LF.sgy
A,23,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new023_20260820_172828\20.8.26 A Block new023_20260820_172828_20260821_113401.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new023,664,655,81,40,8.19,16.38,24.4,7.0,5.425,0.0,0.0,1,218,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new023_20260820_172828\20.8.26 A Block new023_20260820_172828_20260821_113401_HF.sgy,218,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new023_20260820_172828\20.8.26 A Block new023_20260820_172828_20260821_113401_LF.sgy
A,24,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new024_20260820_172858\20.8.26 A Block new024_20260820_172858_20260821_113401.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new024,664,655,81,40,8.19,16.38,24.4,7.0,5.375,0.0,0.0,1,216,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new024_20260820_172858\20.8.26 A Block new024_20260820_172858_20260821_113401_HF.sgy,216,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new024_20260820_172858\20.8.26 A Block new024_20260820_172858_20260821_113401_LF.sgy
B,1,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new001_20260820_180157\20.8.26 B Block proceq new001_20260820_180157_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new001,664,655,81,40,8.19,16.38,24.4,7.0,9.65,0.0,0.0,1,387,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new001_20260820_180157\20.8.26 B Block proceq new001_20260820_180157_20260821_120010_HF.sgy,387,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new001_20260820_180157\20.8.26 B Block proceq new001_20260820_180157_20260821_120010_LF.sgy
B,2,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new002_20260820_180238\20.8.26 B Block proceq new002_20260820_180238_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new002,664,655,81,40,8.19,16.38,24.4,7.0,9.575,0.0,0.0,1,384,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new002_20260820_180238\20.8.26 B Block proceq new002_20260820_180238_20260821_120010_HF.sgy,384,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new002_20260820_180238\20.8.26 B Block proceq new002_20260820_180238_20260821_120010_LF.sgy
B,3,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new003_20260820_180328\20.8.26 B Block proceq new003_20260820_180328_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new003,664,655,81,40,8.19,16.38,24.4,7.0,9.6,0.0,0.0,1,385,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new003_20260820_180328\20.8.26 B Block proceq new003_20260820_180328_20260821_120010_HF.sgy,385,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new003_20260820_180328\20.8.26 B Block proceq new003_20260820_180328_20260821_120010_LF.sgy
B,4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new004_20260820_180642\20.8.26 B Block proceq new004_20260820_180642_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new004,664,655,81,40,8.19,16.38,24.4,7.0,9.575,0.0,0.0,1,384,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new004_20260820_180642\20.8.26 B Block proceq new004_20260820_180642_20260821_120010_HF.sgy,384,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new004_20260820_180642\20.8.26 B Block proceq new004_20260820_180642_20260821_120010_LF.sgy
B,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new005_20260820_180821\20.8.26 B Block proceq new005_20260820_180821_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new005,664,655,81,40,8.19,16.38,24.4,7.0,9.575,0.0,0.0,1,384,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new005_20260820_180821\20.8.26 B Block proceq new005_20260820_180821_20260821_120010_HF.sgy,384,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new005_20260820_180821\20.8.26 B Block proceq new005_20260820_180821_20260821_120010_LF.sgy
B,6,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new006_20260820_180908\20.8.26 B Block proceq new006_20260820_180908_20260821_120010.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 B Block proceq new006,664,655,81,40,8.19,16.38,24.4,7.0,9.6,0.0,0.0,1,385,655,61,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new006_20260820_180908\20.8.26 B Block proceq new006_20260820_180908_20260821_120010_HF.sgy,385,664,122,5,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new006_20260820_180908\20.8.26 B Block proceq new006_20260820_180908_20260821_120010_LF.sgy
